symbol,entry_price,exit_price,pnl_pct,holding_hours,entry_kst,exit_kst
O,62.89,60.96,-3.068850373668309,168.0,2026-08-26T22:45:00+09:00,2026-09-02T22:45:00+09:00
IT,195.7,190.9,-2.452733776188034,168.0,2026-08-26T22:50:00+09:00,2026-09-02T22:50:00+09:00
KEYS,325.1,318.3,-2.091664103352818,168.0,2026-08-26T22:50:00+09:00,2026-09-02T22:50:00+09:00
TEL,204.2,201.9,-1.126346718903028,168.0,2026-08-26T22:50:00+09:00,2026-09-02T22:50:00+09:00
SPGI,438.0,432.1,-1.3470319634703143,168.0,2026-08-26T22:55:00+09:00,2026-09-02T22:55:00+09:00
C,133.1,133.1,0.0,168.0,2026-08-26T23:05:00+09:00,2026-09-02T23:05:00+09:00
UPS,105.0,103.3,-1.6190476190476217,168.0,2026-08-26T23:05:00+09:00,2026-09-02T23:05:00+09:00
AWK,138.0,136.4,-1.1594202898550683,168.0,2026-08-26T23:20:00+09:00,2026-09-02T23:20:00+09:00
AMT,178.9,173.2,-3.186137506987153,167.42,2026-08-26T23:20:00+09:00,2026-09-02T22:45:00+09:00
ON,72.9,73.7,1.0973936899862786,168.08,2026-08-26T23:40:00+09:00,2026-09-02T23:45:00+09:00
VICI,26.11,25.49,-2.374569130601306,168.08,2026-08-26T23:40:00+09:00,2026-09-02T23:45:00+09:00
ISRG,368.0,379.3,3.0706521739130466,167.92,2026-08-26T23:40:00+09:00,2026-09-02T23:35:00+09:00
BNY,163.3,162.4,-0.5511328842620977,168.0,2026-08-26T23:55:00+09:00,2026-09-02T23:55:00+09:00
HIG,139.8,137.8,-1.4306151645207437,167.08,2026-08-27T00:05:00+09:00,2026-09-02T23:10:00+09:00
CPRT,32.89,32.4,-1.4898145332928003,168.0,2026-08-27T00:10:00+09:00,2026-09-03T00:10:00+09:00
TROW,112.1,110.0,-1.8733273862622606,168.0,2026-08-27T00:45:00+09:00,2026-09-03T00:45:00+09:00
BR,182.0,178.5,-1.9230769230769231,168.0,2026-08-27T01:00:00+09:00,2026-09-03T01:00:00+09:00
CPAY,405.6,413.1,1.8491124260355027,168.0,2026-08-27T01:05:00+09:00,2026-09-03T01:05:00+09:00
VZ,50.5,50.55,0.09900990099009338,168.0,2026-08-27T01:05:00+09:00,2026-09-03T01:05:00+09:00
META,574.9,596.7,3.7919638197947587,166.5,2026-08-27T01:15:00+09:00,2026-09-02T23:45:00+09:00
PFE,28.35,28.81,1.6225749559082796,168.0,2026-08-27T01:30:00+09:00,2026-09-03T01:30:00+09:00
WMB,74.26,74.98,0.9695663883652018,168.0,2026-08-27T01:40:00+09:00,2026-09-03T01:40:00+09:00
CSGP,31.82,31.71,-0.3456945317410416,168.0,2026-08-27T02:05:00+09:00,2026-09-03T02:05:00+09:00
GL,175.7,174.1,-0.9106431417188356,168.0,2026-08-27T02:15:00+09:00,2026-09-03T02:15:00+09:00
KMI,32.1,31.75,-1.0903426791277304,164.58,2026-08-27T02:15:00+09:00,2026-09-02T22:50:00+09:00
VLTO,98.88,97.89,-1.0012135922330045,168.0,2026-08-27T02:30:00+09:00,2026-09-03T02:30:00+09:00
GOOGL,341.8,334.7,-2.0772381509654836,163.33,2026-08-27T03:25:00+09:00,2026-09-02T22:45:00+09:00
ROP,415.3,415.9,0.14447387430772113,163.92,2026-08-27T03:40:00+09:00,2026-09-02T23:35:00+09:00
KDP,32.17,32.99,2.5489586571339764,168.0,2026-08-27T03:40:00+09:00,2026-09-03T03:40:00+09:00
SCHW,109.5,108.7,-0.7305936073059335,168.0,2026-08-27T03:55:00+09:00,2026-09-03T03:55:00+09:00
OMC,88.08,85.07,-3.4173478655767546,166.75,2026-08-27T04:35:00+09:00,2026-09-03T03:20:00+09:00
WFC,85.65,89.45,4.436660828955046,163.5,2026-08-27T04:50:00+09:00,2026-09-03T00:20:00+09:00
GOOG,339.7,333.6,-1.795702090079472,168.0,2026-08-27T04:55:00+09:00,2026-09-03T04:55:00+09:00
CPT,108.0,105.0,-2.7777777777777777,168.0,2026-08-27T05:00:00+09:00,2026-09-03T05:00:00+09:00
STZ,132.7,131.8,-0.6782215523737584,144.08,2026-08-27T22:50:00+09:00,2026-09-02T22:55:00+09:00
JNJ,266.3,276.8,3.9429215170859933,144.33,2026-08-27T22:50:00+09:00,2026-09-02T23:10:00+09:00
PTC,155.3,150.0,-3.4127495170637547,146.08,2026-08-27T22:50:00+09:00,2026-09-03T00:55:00+09:00
SWKS,66.5,70.29,5.699248120300761,145.17,2026-08-27T23:10:00+09:00,2026-09-03T00:20:00+09:00
ESS,284.2,275.3,-3.131597466572828,149.17,2026-08-27T23:40:00+09:00,2026-09-03T04:50:00+09:00
HRL,21.63,22.29,3.0513176144244114,147.08,2026-08-27T23:50:00+09:00,2026-09-03T02:55:00+09:00
ABNB,187.1,181.2,-3.1533939070016066,143.25,2026-08-27T23:55:00+09:00,2026-09-02T23:10:00+09:00
PLTR,185.0,173.9,-5.999999999999997,142.67,2026-08-28T00:05:00+09:00,2026-09-02T22:45:00+09:00
ADBE,290.5,281.0,-3.2702237521514634,144.75,2026-08-28T00:10:00+09:00,2026-09-03T00:55:00+09:00
CAH,235.8,244.9,3.8592027141645437,146.08,2026-08-28T00:40:00+09:00,2026-09-03T02:45:00+09:00
MTD,1408.0,1364.0,-3.125,140.83,2026-08-28T05:00:00+09:00,2026-09-03T01:50:00+09:00
BMY,66.7,67.21,0.7646176911544091,120.08,2026-08-28T22:45:00+09:00,2026-09-02T22:50:00+09:00
SYK,324.5,314.2,-3.1741140215716523,123.42,2026-08-28T22:55:00+09:00,2026-09-03T02:20:00+09:00
COR,321.8,331.4,2.9832193909260303,119.25,2026-08-28T23:35:00+09:00,2026-09-02T22:50:00+09:00
HUM,390.6,405.8,3.891449052739372,124.83,2026-08-28T23:35:00+09:00,2026-09-03T04:25:00+09:00
SYY,82.21,82.56,0.4257389611969451,124.42,2026-08-28T23:35:00+09:00,2026-09-03T04:00:00+09:00
ELV,396.7,407.8,2.7980841946055013,118.83,2026-08-29T00:00:00+09:00,2026-09-02T22:50:00+09:00
HPQ,30.64,31.56,3.002610966057435,119.0,2026-08-29T00:10:00+09:00,2026-09-02T23:10:00+09:00
NOW,145.1,140.3,-3.3080634045485757,118.42,2026-08-29T00:45:00+09:00,2026-09-02T23:10:00+09:00
EQIX,1050.0,1012.0,-3.619047619047619,117.33,2026-08-29T01:25:00+09:00,2026-09-02T22:45:00+09:00
WY,23.62,23.25,-1.5664690939881498,121.25,2026-08-29T02:25:00+09:00,2026-09-03T03:40:00+09:00
CMG,37.9,38.25,0.9234828496042254,116.25,2026-08-29T02:35:00+09:00,2026-09-02T22:50:00+09:00
NVDA,218.8,225.9,3.244972577696524,118.42,2026-08-29T03:25:00+09:00,2026-09-03T01:50:00+09:00
CINF,171.8,171.4,-0.23282887077998002,115.5,2026-08-29T03:40:00+09:00,2026-09-02T23:10:00+09:00
GILD,145.3,150.2,3.3723331039229025,115.33,2026-08-29T03:55:00+09:00,2026-09-02T23:15:00+09:00
RVTY,128.9,128.6,-0.23273855702095528,114.33,2026-08-29T04:30:00+09:00,2026-09-02T22:50:00+09:00
CSCO,110.0,108.7,-1.1818181818181792,118.58,2026-08-29T04:40:00+09:00,2026-09-03T03:15:00+09:00
CMI,565.6,550.8,-2.6166902404526287,116.92,2026-08-29T04:50:00+09:00,2026-09-03T01:45:00+09:00
FIX,1520.0,1554.0,2.236842105263158,117.42,2026-08-29T04:55:00+09:00,2026-09-03T02:20:00+09:00
PCAR,125.6,122.1,-2.786624203821656,113.92,2026-08-29T05:00:00+09:00,2026-09-02T22:55:00+09:00
HCA,418.3,410.8,-1.792971551518049,114.5,2026-08-29T05:00:00+09:00,2026-09-02T23:30:00+09:00
WDC,453.9,437.6,-3.591099361092742,49.17,2026-08-31T22:55:00+09:00,2026-09-03T00:05:00+09:00
AIZ,284.0,284.0,0.0,48.83,2026-08-31T22:55:00+09:00,2026-09-02T23:45:00+09:00
RL,348.2,336.4,-3.388856978747849,52.92,2026-08-31T22:55:00+09:00,2026-09-03T03:50:00+09:00
LUV,38.69,38.37,-0.8270871026104943,48.08,2026-08-31T22:55:00+09:00,2026-09-02T23:00:00+09:00
RDDT,147.8,153.9,4.127198917456018,49.08,2026-08-31T23:00:00+09:00,2026-09-03T00:05:00+09:00
SYF,77.08,78.6,1.9719771665801713,49.33,2026-08-31T23:00:00+09:00,2026-09-03T00:20:00+09:00
ABBV,254.7,260.4,2.237926972909301,48.17,2026-08-31T23:00:00+09:00,2026-09-02T23:10:00+09:00
STX,823.3,785.7,-4.5669865176727695,49.0,2026-08-31T23:05:00+09:00,2026-09-03T00:05:00+09:00
MET,95.84,95.22,-0.6469115191986692,47.83,2026-08-31T23:05:00+09:00,2026-09-02T22:55:00+09:00
DD,135.6,132.8,-2.0648967551622293,47.83,2026-08-31T23:05:00+09:00,2026-09-02T22:55:00+09:00
VLO,358.1,367.7,2.6808154146886247,53.5,2026-08-31T23:20:00+09:00,2026-09-03T04:50:00+09:00
PSA,308.7,297.9,-3.4985422740524816,47.42,2026-08-31T23:20:00+09:00,2026-09-02T22:45:00+09:00
BBY,79.52,85.88,7.997987927565392,47.5,2026-08-31T23:40:00+09:00,2026-09-02T23:10:00+09:00
