symbol,entry_price,exit_price,pnl_pct,holding_hours,entry_kst,exit_kst
TRX,463.5,460.5,-0.6472491909385114,86.75,2026-09-19T09:30:00+09:00,2026-09-23T00:15:00+09:00
RE,619.6,630.4,1.74306003873466,85.75,2026-09-20T04:00:00+09:00,2026-09-23T17:45:00+09:00
HPP,9.185,9.31,1.360914534567229,81.0,2026-09-20T08:45:00+09:00,2026-09-23T17:45:00+09:00
CTK,170.2,173.8,2.115158636897781,70.75,2026-09-20T12:00:00+09:00,2026-09-23T10:45:00+09:00
EURC,1573.0,1519.0,-3.4329307056579785,72.25,2026-09-20T12:30:00+09:00,2026-09-23T12:45:00+09:00
RAD,326.3,333.7,2.267851670242101,59.25,2026-09-20T16:15:00+09:00,2026-09-23T03:30:00+09:00
BTR,67.21,72.65,8.094033625948537,58.5,2026-09-21T01:45:00+09:00,2026-09-23T12:15:00+09:00
MANTA,94.11,96.75,2.805227924768888,44.5,2026-09-21T05:15:00+09:00,2026-09-23T01:45:00+09:00
XAN,16.59,16.99,2.411091018685947,50.25,2026-09-21T07:45:00+09:00,2026-09-23T10:00:00+09:00
SOON,256.3,262.7,2.4970737417089257,36.25,2026-09-21T09:45:00+09:00,2026-09-22T22:00:00+09:00
ENJ,37.35,39.04,4.524765729585,40.25,2026-09-21T10:00:00+09:00,2026-09-23T02:15:00+09:00
DKA,5.488,5.989,9.129008746355675,51.0,2026-09-21T11:00:00+09:00,2026-09-23T14:00:00+09:00
RSR,2.203,2.388,8.397639582387656,50.0,2026-09-21T11:15:00+09:00,2026-09-23T13:15:00+09:00
POKT,12.05,11.29,-6.307053941908726,38.75,2026-09-21T11:45:00+09:00,2026-09-23T02:30:00+09:00
ACH,8.002,8.107,1.3121719570107304,56.0,2026-09-21T12:15:00+09:00,2026-09-23T20:15:00+09:00
STEEM,76.72,78.27,2.020333680917619,40.75,2026-09-21T12:15:00+09:00,2026-09-23T05:00:00+09:00
SAPIEN,105.1,106.9,1.7126546146527226,49.0,2026-09-21T12:45:00+09:00,2026-09-23T13:45:00+09:00
COW,209.2,201.8,-3.5372848948374656,52.0,2026-09-21T13:00:00+09:00,2026-09-23T17:00:00+09:00
MLK,58.64,59.8,1.9781718963165016,46.25,2026-09-21T13:15:00+09:00,2026-09-23T11:30:00+09:00
ENSO,1347.0,1336.0,-0.8166295471417966,38.0,2026-09-21T14:00:00+09:00,2026-09-23T04:00:00+09:00
FRAX,394.4,403.6,2.332657200811371,46.0,2026-09-21T14:30:00+09:00,2026-09-23T12:30:00+09:00
PARTI,33.8,35.02,3.60946745562132,36.0,2026-09-21T15:00:00+09:00,2026-09-23T03:00:00+09:00
GTC,116.1,118.9,2.411714039621026,48.75,2026-09-21T15:45:00+09:00,2026-09-23T16:30:00+09:00
LWP,3.583,3.633,1.3954786491766626,42.25,2026-09-21T16:45:00+09:00,2026-09-23T11:00:00+09:00
AI,28.49,29.27,2.7378027378027423,50.0,2026-09-21T16:45:00+09:00,2026-09-23T18:45:00+09:00
HP,11.71,12.02,2.647309991460279,31.0,2026-09-21T17:00:00+09:00,2026-09-23T00:00:00+09:00
GMX,10741.0,11129.0,3.612326599013127,41.75,2026-09-21T17:00:00+09:00,2026-09-23T10:45:00+09:00
2Z,69.29,71.63,3.377110694183849,39.0,2026-09-21T17:30:00+09:00,2026-09-23T08:30:00+09:00
ORCA,2038.0,2093.0,2.6987242394504416,46.75,2026-09-21T18:30:00+09:00,2026-09-23T17:15:00+09:00
CTC,151.2,154.8,2.380952380952396,45.25,2026-09-21T18:30:00+09:00,2026-09-23T15:45:00+09:00
API3,349.3,360.6,3.235041511594621,31.25,2026-09-21T18:45:00+09:00,2026-09-23T02:00:00+09:00
NEO,3386.0,3461.0,2.215002953337271,34.5,2026-09-21T18:45:00+09:00,2026-09-23T05:15:00+09:00
OSMO,49.25,50.86,3.2690355329949226,42.0,2026-09-21T18:45:00+09:00,2026-09-23T12:45:00+09:00
GLM,166.2,170.8,2.767749699157655,41.0,2026-09-21T19:00:00+09:00,2026-09-23T12:00:00+09:00
