symbol,entry_price,exit_price,pnl_pct,holding_hours,entry_kst,exit_kst
FRT,118.2,119.2,0.8460236886632826,168.0,2026-08-08T00:20:00+09:00,2026-08-15T00:20:00+09:00
MET,97.91,97.57,-0.3472576856296634,168.0,2026-08-08T00:20:00+09:00,2026-08-15T00:20:00+09:00
PAYX,121.2,122.5,1.0726072607260704,167.17,2026-08-08T00:20:00+09:00,2026-08-14T23:30:00+09:00
MGM,44.24,44.2,-0.0904159132007214,168.08,2026-08-08T00:35:00+09:00,2026-08-15T00:40:00+09:00
TMUS,178.3,182.7,2.4677509814918546,168.08,2026-08-08T00:45:00+09:00,2026-08-15T00:50:00+09:00
PRU,121.4,124.9,2.883031301482702,167.08,2026-08-08T00:45:00+09:00,2026-08-14T23:50:00+09:00
VLTO,98.24,97.5,-0.7532573289902229,168.0,2026-08-08T01:00:00+09:00,2026-08-15T01:00:00+09:00
HLT,320.4,325.6,1.6229712858926486,168.0,2026-08-08T01:00:00+09:00,2026-08-15T01:00:00+09:00
MCO,476.9,483.8,1.4468442021388204,168.08,2026-08-08T01:40:00+09:00,2026-08-15T01:45:00+09:00
VICI,26.71,26.39,-1.198053163609136,168.08,2026-08-08T01:40:00+09:00,2026-08-15T01:45:00+09:00
FISV,51.65,54.58,5.6727976766698935,165.58,2026-08-08T01:50:00+09:00,2026-08-14T23:25:00+09:00
WFC,86.64,88.14,1.7313019390581719,168.08,2026-08-08T01:50:00+09:00,2026-08-15T01:55:00+09:00
RSG,216.2,215.8,-0.18501387604069255,168.08,2026-08-08T02:00:00+09:00,2026-08-15T02:05:00+09:00
MSCI,562.9,566.8,0.6928406466512662,168.08,2026-08-08T02:00:00+09:00,2026-08-15T02:05:00+09:00
PH,1080.0,1055.0,-2.314814814814815,164.58,2026-08-08T02:00:00+09:00,2026-08-14T22:35:00+09:00
DAL,91.53,89.43,-2.2943297279580404,168.0,2026-08-08T02:15:00+09:00,2026-08-15T02:15:00+09:00
FOXA,63.52,65.13,2.5346347607052775,163.67,2026-08-08T02:55:00+09:00,2026-08-14T22:35:00+09:00
EXR,149.6,148.0,-1.0695187165775364,168.08,2026-08-08T02:55:00+09:00,2026-08-15T03:00:00+09:00
HUM,384.8,387.2,0.6237006237006177,168.0,2026-08-08T03:25:00+09:00,2026-08-15T03:25:00+09:00
MLM,548.5,548.0,-0.09115770282588878,168.08,2026-08-08T04:10:00+09:00,2026-08-15T04:15:00+09:00
RL,397.7,383.9,-3.4699522252954513,162.67,2026-08-08T04:50:00+09:00,2026-08-14T23:30:00+09:00
LH,319.7,317.4,-0.7194244604316583,168.0,2026-08-08T04:50:00+09:00,2026-08-15T04:50:00+09:00
CMG,32.46,33.61,3.542821934688843,94.58,2026-08-11T01:15:00+09:00,2026-08-14T23:50:00+09:00
LDOS,139.1,143.0,2.8037383177570137,93.33,2026-08-11T03:00:00+09:00,2026-08-15T00:20:00+09:00
BSX,50.58,52.06,2.926057730328201,71.92,2026-08-11T23:55:00+09:00,2026-08-14T23:50:00+09:00
CPRT,29.53,31.48,6.603454114459868,76.08,2026-08-12T00:05:00+09:00,2026-08-15T04:10:00+09:00
BBY,83.69,86.74,3.644401959612854,70.83,2026-08-12T01:00:00+09:00,2026-08-14T23:50:00+09:00
ATO,168.6,169.7,0.6524317912218235,69.42,2026-08-12T01:10:00+09:00,2026-08-14T22:35:00+09:00
CI,272.8,281.0,3.0058651026392917,72.5,2026-08-12T01:35:00+09:00,2026-08-15T02:05:00+09:00
FDXF,141.0,148.1,5.035460992907797,69.58,2026-08-12T01:55:00+09:00,2026-08-14T23:30:00+09:00
FAST,52.48,50.8,-3.2012195121951215,67.42,2026-08-12T04:00:00+09:00,2026-08-14T23:25:00+09:00
CPAY,407.4,419.1,2.8718703976436046,67.42,2026-08-12T04:00:00+09:00,2026-08-14T23:25:00+09:00
WMB,72.35,74.81,3.4001382170007024,70.67,2026-08-12T04:25:00+09:00,2026-08-15T03:05:00+09:00
VLO,322.7,343.9,6.569569259374028,67.08,2026-08-12T04:25:00+09:00,2026-08-14T23:30:00+09:00
PTC,149.8,151.1,0.8678237650200152,67.0,2026-08-12T04:30:00+09:00,2026-08-14T23:30:00+09:00
EXPE,321.7,331.8,3.1395710289089287,68.5,2026-08-12T04:50:00+09:00,2026-08-15T01:20:00+09:00
