symbol,entry_price,exit_price,pnl_pct,holding_hours,entry_kst,exit_kst
DKA,4.657,4.578,-1.6963710543268142,168.0,2026-08-06T10:15:00+09:00,2026-08-13T10:15:00+09:00
CAMP,0.4045,0.4178,3.2880098887515397,154.0,2026-08-06T12:30:00+09:00,2026-08-12T22:30:00+09:00
GAS,1329.0,1286.0,-3.235515425131678,157.25,2026-08-06T17:45:00+09:00,2026-08-13T07:00:00+09:00
STEEM,51.52,49.83,-3.2802795031055996,157.25,2026-08-06T17:45:00+09:00,2026-08-13T07:00:00+09:00
PUNDIX,108.1,103.9,-3.8852913968547536,162.75,2026-08-06T19:45:00+09:00,2026-08-13T14:30:00+09:00
STRAX,12.23,12.65,3.4341782502044143,139.75,2026-08-07T01:30:00+09:00,2026-08-12T21:15:00+09:00
KAVA,56.73,57.09,0.6345848757271401,131.25,2026-08-07T13:15:00+09:00,2026-08-13T00:30:00+09:00
SIX,5.886,5.92,0.5776418620455286,116.5,2026-08-08T01:45:00+09:00,2026-08-12T22:15:00+09:00
BOB,5.592,5.409,-3.272532188841199,120.0,2026-08-08T04:15:00+09:00,2026-08-13T04:15:00+09:00
XYO,4.211,4.072,-3.3008786511517507,116.25,2026-08-08T12:45:00+09:00,2026-08-13T09:00:00+09:00
KAIA,38.58,37.38,-3.1104199066873917,107.25,2026-08-08T13:15:00+09:00,2026-08-13T00:30:00+09:00
AUCTION,4143.0,3994.0,-3.596427709389331,113.5,2026-08-08T13:30:00+09:00,2026-08-13T07:00:00+09:00
BNB,849849.0,861638.0,1.3871876062688784,108.25,2026-08-09T00:30:00+09:00,2026-08-13T12:45:00+09:00
FLR,8.687,8.412,-3.1656498215724485,105.75,2026-08-09T00:30:00+09:00,2026-08-13T10:15:00+09:00
LM,0.592,0.5852,-1.1486486486486347,96.25,2026-08-09T19:00:00+09:00,2026-08-13T19:15:00+09:00
ARB,112.1,107.9,-3.746654772524521,69.5,2026-08-10T07:15:00+09:00,2026-08-13T04:45:00+09:00
GPS,13.19,13.86,5.079605761940864,55.75,2026-08-10T13:30:00+09:00,2026-08-12T21:15:00+09:00
ENA,126.1,121.9,-3.330689928628064,57.25,2026-08-10T18:45:00+09:00,2026-08-13T04:00:00+09:00
XTER,11.36,11.25,-0.9683098591549246,60.25,2026-08-10T20:00:00+09:00,2026-08-13T08:15:00+09:00
REQ,73.16,70.66,-3.417167851284855,57.75,2026-08-10T21:30:00+09:00,2026-08-13T07:15:00+09:00
COW,148.1,141.9,-4.186360567184328,55.75,2026-08-10T23:15:00+09:00,2026-08-13T07:00:00+09:00
B3,0.6186,0.5967,-3.54025218234724,56.25,2026-08-11T00:15:00+09:00,2026-08-13T08:30:00+09:00
XVS,3832.0,3713.0,-3.105427974947808,57.5,2026-08-11T01:30:00+09:00,2026-08-13T11:00:00+09:00
