symbol,entry_price,exit_price,pnl_pct,holding_hours,entry_kst,exit_kst
FSLR,203.3,211.2,3.885882931628124,96.25,2026-07-27T23:50:00+09:00,2026-08-01T00:05:00+09:00
WBD,25.51,26.17,2.5872206977655825,98.33,2026-07-28T01:45:00+09:00,2026-08-01T04:05:00+09:00
MRNA,55.76,57.04,2.295552367288381,92.25,2026-07-28T03:20:00+09:00,2026-07-31T23:35:00+09:00
IDXX,569.6,551.7,-3.1425561797752772,69.25,2026-07-29T02:20:00+09:00,2026-07-31T23:35:00+09:00
GOOG,333.9,348.8,4.462413896376171,67.75,2026-07-29T04:55:00+09:00,2026-08-01T00:40:00+09:00
DD,137.6,137.3,-0.21802325581394114,47.33,2026-07-30T00:15:00+09:00,2026-07-31T23:35:00+09:00
HAS,96.05,94.38,-1.738677771993755,47.33,2026-07-30T00:45:00+09:00,2026-08-01T00:05:00+09:00
IP,42.87,41.58,-3.0090972708187524,47.17,2026-07-30T00:45:00+09:00,2026-07-31T23:55:00+09:00
SRE,89.75,89.45,-0.33426183844010826,46.25,2026-07-30T01:20:00+09:00,2026-07-31T23:35:00+09:00
STT,178.3,183.6,2.9725182277061037,46.17,2026-07-30T01:30:00+09:00,2026-07-31T23:40:00+09:00
NTAP,172.8,177.9,2.9513888888888853,49.42,2026-07-30T01:50:00+09:00,2026-08-01T03:15:00+09:00
IVZ,28.19,29.42,4.363249379212488,47.58,2026-07-30T01:50:00+09:00,2026-08-01T01:25:00+09:00
CRWD,178.7,186.1,4.141018466703977,45.83,2026-07-30T01:50:00+09:00,2026-07-31T23:40:00+09:00
ES,75.0,71.87,-4.173333333333328,45.5,2026-07-30T02:05:00+09:00,2026-07-31T23:35:00+09:00
MS,206.6,212.0,2.6137463697967114,46.42,2026-07-30T02:25:00+09:00,2026-08-01T00:50:00+09:00
GS,999.0,1012.0,1.3013013013013013,45.0,2026-07-30T02:35:00+09:00,2026-07-31T23:35:00+09:00
EQR,68.8,66.51,-3.3284883720930116,43.92,2026-07-30T03:40:00+09:00,2026-07-31T23:35:00+09:00
TSN,61.0,58.74,-3.704918032786882,48.17,2026-07-30T04:30:00+09:00,2026-08-01T04:40:00+09:00
IR,84.55,81.02,-4.1750443524541705,43.0,2026-07-30T04:30:00+09:00,2026-07-31T23:30:00+09:00
XYZ,83.08,81.09,-2.395281656234948,43.0,2026-07-30T04:40:00+09:00,2026-07-31T23:40:00+09:00
PCAR,135.9,132.4,-2.5754231052244294,42.67,2026-07-30T04:50:00+09:00,2026-07-31T23:30:00+09:00
TROW,119.7,113.7,-5.012531328320802,42.75,2026-07-30T04:50:00+09:00,2026-07-31T23:35:00+09:00
PSX,207.6,209.4,0.8670520231213927,43.42,2026-07-30T04:50:00+09:00,2026-08-01T00:15:00+09:00
APP,398.5,383.7,-3.7139272271016344,42.58,2026-07-30T04:55:00+09:00,2026-07-31T23:30:00+09:00
PANW,316.7,325.5,2.7786548784338527,42.67,2026-07-30T04:55:00+09:00,2026-07-31T23:35:00+09:00
ARES,123.6,126.7,2.5080906148867386,27.67,2026-07-30T23:35:00+09:00,2026-08-01T03:15:00+09:00
LMT,561.8,573.3,2.046991812032752,24.0,2026-07-30T23:35:00+09:00,2026-07-31T23:35:00+09:00
WY,23.7,24.77,4.514767932489453,27.08,2026-07-30T23:40:00+09:00,2026-08-01T02:45:00+09:00
TYL,321.9,317.9,-1.2426219322771048,23.83,2026-07-30T23:40:00+09:00,2026-07-31T23:30:00+09:00
EQIX,1059.0,1025.0,-3.210576015108593,26.92,2026-07-30T23:50:00+09:00,2026-08-01T02:45:00+09:00
LYB,59.14,62.1,5.005072708826515,24.75,2026-07-30T23:50:00+09:00,2026-08-01T00:35:00+09:00
APO,118.0,124.0,5.084745762711865,27.08,2026-07-30T23:50:00+09:00,2026-08-01T02:55:00+09:00
FIX,1696.0,1749.0,3.125,24.83,2026-07-30T23:50:00+09:00,2026-08-01T00:40:00+09:00
EIX,77.66,74.41,-4.18490857584342,24.0,2026-07-31T00:05:00+09:00,2026-08-01T00:05:00+09:00
CHD,97.99,98.54,0.5612817634452612,23.5,2026-07-31T00:05:00+09:00,2026-07-31T23:35:00+09:00
INTU,306.5,315.1,2.805872756933123,26.67,2026-07-31T00:05:00+09:00,2026-08-01T02:45:00+09:00
AMAT,499.7,513.0,2.6615969581749073,24.0,2026-07-31T00:05:00+09:00,2026-08-01T00:05:00+09:00
KMB,109.2,109.6,0.3663003663003585,28.0,2026-07-31T00:05:00+09:00,2026-08-01T04:05:00+09:00
GEV,972.5,996.2,2.437017994858617,24.42,2026-07-31T00:15:00+09:00,2026-08-01T00:40:00+09:00
LYV,182.4,173.2,-5.043859649122816,23.33,2026-07-31T00:15:00+09:00,2026-07-31T23:35:00+09:00
ZBH,94.25,93.03,-1.2944297082228104,24.75,2026-07-31T00:15:00+09:00,2026-08-01T01:00:00+09:00
COIN,160.8,142.0,-11.69154228855722,23.25,2026-07-31T00:15:00+09:00,2026-07-31T23:30:00+09:00
LITE,680.4,709.1,4.2181069958847806,24.42,2026-07-31T00:15:00+09:00,2026-08-01T00:40:00+09:00
GWW,1344.0,1385.0,3.050595238095238,26.33,2026-07-31T00:25:00+09:00,2026-08-01T02:45:00+09:00
BR,151.3,153.7,1.5862524785194825,23.17,2026-07-31T00:25:00+09:00,2026-07-31T23:35:00+09:00
ODFL,210.6,213.3,1.2820512820512902,24.58,2026-07-31T00:25:00+09:00,2026-08-01T01:00:00+09:00
TJX,158.1,158.2,0.06325110689436705,23.17,2026-07-31T00:25:00+09:00,2026-07-31T23:35:00+09:00
WDC,536.5,554.1,3.2805219012115603,27.25,2026-07-31T00:25:00+09:00,2026-08-01T03:40:00+09:00
CPT,113.8,110.0,-3.3391915641476246,22.83,2026-07-31T00:40:00+09:00,2026-07-31T23:30:00+09:00
GOOGL,332.1,349.2,5.1490514905148945,24.0,2026-07-31T00:40:00+09:00,2026-08-01T00:40:00+09:00
AMT,174.0,171.3,-1.5517241379310278,22.83,2026-07-31T00:40:00+09:00,2026-07-31T23:30:00+09:00
CINF,174.8,177.2,1.3729977116704675,27.17,2026-07-31T01:10:00+09:00,2026-08-01T04:20:00+09:00
META,532.9,543.8,2.045411897166444,23.17,2026-07-31T01:30:00+09:00,2026-08-01T00:40:00+09:00
BRO,70.88,70.25,-0.8888261851015739,27.08,2026-07-31T01:35:00+09:00,2026-08-01T04:40:00+09:00
INCY,122.2,119.0,-2.6186579378068764,22.08,2026-07-31T01:35:00+09:00,2026-07-31T23:40:00+09:00
JCI,142.4,146.4,2.8089887640449436,26.83,2026-07-31T01:50:00+09:00,2026-08-01T04:40:00+09:00
STX,835.0,855.4,2.443113772455087,22.83,2026-07-31T01:50:00+09:00,2026-08-01T00:40:00+09:00
KLAC,181.6,185.5,2.1475770925110163,21.75,2026-07-31T02:20:00+09:00,2026-08-01T00:05:00+09:00
GDDY,99.7,77.4,-22.36710130391173,21.08,2026-07-31T02:30:00+09:00,2026-07-31T23:35:00+09:00
AZO,3006.0,3016.0,0.332667997338656,24.42,2026-07-31T02:30:00+09:00,2026-08-01T02:55:00+09:00
COST,952.6,951.4,-0.12597102666387208,21.17,2026-07-31T02:30:00+09:00,2026-07-31T23:40:00+09:00
NCLH,19.08,18.97,-0.5765199161425547,19.75,2026-07-31T02:50:00+09:00,2026-07-31T22:35:00+09:00
NXPI,248.3,234.6,-5.517519130084582,22.67,2026-07-31T03:05:00+09:00,2026-08-01T01:45:00+09:00
RCL,317.5,318.8,0.4094488188976414,20.58,2026-07-31T03:20:00+09:00,2026-07-31T23:55:00+09:00
HPQ,26.79,26.98,0.7092198581560332,20.5,2026-07-31T03:25:00+09:00,2026-07-31T23:55:00+09:00
PNC,249.2,249.4,0.0802568218298624,19.0,2026-07-31T03:35:00+09:00,2026-07-31T22:35:00+09:00
AVY,175.9,174.3,-0.9096077316657158,19.0,2026-07-31T03:35:00+09:00,2026-07-31T22:35:00+09:00
MGM,45.91,44.48,-3.1147898061424524,20.08,2026-07-31T03:35:00+09:00,2026-07-31T23:40:00+09:00
CTAS,207.6,204.5,-1.4932562620423866,19.75,2026-07-31T03:45:00+09:00,2026-07-31T23:30:00+09:00
