symbol,entry_price,exit_price,pnl_pct,holding_hours,entry_kst,exit_kst
032640,14915.0,14815.0,-0.670465973851827,168.0,2026-08-13T09:30:00+09:00,2026-08-20T09:30:00+09:00
139130,17077.0,17023.0,-0.316214791825262,168.0,2026-08-13T09:50:00+09:00,2026-08-20T09:50:00+09:00
282330,143443.0,142757.0,-0.4782387429153044,168.0,2026-08-13T10:40:00+09:00,2026-08-20T10:40:00+09:00
000810,618618.0,619380.0,0.1231777930807057,168.0,2026-08-13T11:05:00+09:00,2026-08-20T11:05:00+09:00
024110,20070.0,19980.0,-0.4484304932735426,168.0,2026-08-13T15:15:00+09:00,2026-08-20T15:15:00+09:00
006040,37037.0,37712.0,1.8225018225018226,162.67,2026-08-13T15:20:00+09:00,2026-08-20T10:00:00+09:00
128940,385885.0,399600.0,3.554167692447232,52.17,2026-08-18T09:05:00+09:00,2026-08-20T13:15:00+09:00
067390,506.5,505.5,-0.19743336623889435,47.92,2026-08-18T09:15:00+09:00,2026-08-20T09:10:00+09:00
010950,152552.0,147652.0,-3.2120195081021556,47.75,2026-08-18T09:35:00+09:00,2026-08-20T09:20:00+09:00
316140,33183.0,32068.0,-3.3601542958743935,50.17,2026-08-18T09:40:00+09:00,2026-08-20T11:50:00+09:00
195940,40941.0,42358.0,3.4610781368310493,48.0,2026-08-18T09:40:00+09:00,2026-08-20T09:40:00+09:00
213500,7678.0,7423.0,-3.3211773899452983,52.25,2026-08-18T09:50:00+09:00,2026-08-20T14:05:00+09:00
208640,751.8,719.3,-4.322958233572758,47.67,2026-08-18T10:00:00+09:00,2026-08-20T09:40:00+09:00
299900,233.2,232.8,-0.1715265866209165,50.33,2026-08-18T10:10:00+09:00,2026-08-20T12:30:00+09:00
214450,393393.0,407092.0,3.4822683677645507,47.0,2026-08-18T10:40:00+09:00,2026-08-20T09:40:00+09:00
278470,388388.0,373126.0,-3.929575579060115,46.33,2026-08-18T10:50:00+09:00,2026-08-20T09:10:00+09:00
029780,47798.0,46254.0,-3.230260680363195,49.42,2026-08-18T12:40:00+09:00,2026-08-20T14:05:00+09:00
004370,428928.0,446054.0,3.992744703073709,44.83,2026-08-18T12:50:00+09:00,2026-08-20T09:40:00+09:00
950130,2242.0,2293.0,2.2747546833184655,48.75,2026-08-18T12:50:00+09:00,2026-08-20T13:35:00+09:00
006280,121822.0,124276.0,2.0144144735762013,42.67,2026-08-18T15:00:00+09:00,2026-08-20T09:40:00+09:00
243070,25175.0,25574.0,1.5849056603773584,42.5,2026-08-18T15:10:00+09:00,2026-08-20T09:40:00+09:00
141080,104805.0,106993.0,2.0876866561709844,44.08,2026-08-18T15:15:00+09:00,2026-08-20T11:20:00+09:00
204320,51652.0,54146.0,4.828467435917292,24.75,2026-08-19T09:15:00+09:00,2026-08-20T10:00:00+09:00
003550,108608.0,111988.0,3.112109605185622,26.08,2026-08-19T09:15:00+09:00,2026-08-20T11:20:00+09:00
005380,409409.0,422827.0,3.2774071893876293,26.08,2026-08-19T09:15:00+09:00,2026-08-20T11:20:00+09:00
052690,91692.0,95205.0,3.831304803036252,25.08,2026-08-19T09:15:00+09:00,2026-08-20T10:20:00+09:00
