symbol,entry_price,exit_price,pnl_pct,holding_hours,entry_kst,exit_kst
SUN,22.74,23.08,1.4951627088830248,168.0,2026-09-06T03:45:00+09:00,2026-09-13T03:45:00+09:00
XPR,3.834,3.708,-3.2863849765258184,122.0,2026-09-08T00:30:00+09:00,2026-09-13T02:30:00+09:00
UB,170.2,163.8,-3.760282021151573,66.75,2026-09-10T04:15:00+09:00,2026-09-12T23:00:00+09:00
YGG,30.08,30.91,2.759308510638304,67.0,2026-09-10T07:45:00+09:00,2026-09-13T02:45:00+09:00
MANTA,79.87,82.87,3.756103668461249,65.0,2026-09-10T08:15:00+09:00,2026-09-13T01:15:00+09:00
AUCTION,4445.0,4576.0,2.9471316085489314,73.0,2026-09-10T08:15:00+09:00,2026-09-13T09:15:00+09:00
IN,42.63,43.79,2.7210884353741416,71.0,2026-09-10T10:45:00+09:00,2026-09-13T09:45:00+09:00
REQ,71.11,71.78,0.9422022219097197,59.75,2026-09-10T12:30:00+09:00,2026-09-13T00:15:00+09:00
ROBO,12.8,12.35,-3.5156250000000084,63.75,2026-09-10T18:30:00+09:00,2026-09-13T10:15:00+09:00
AHT,1.432,1.493,4.25977653631286,65.5,2026-09-10T20:15:00+09:00,2026-09-13T13:45:00+09:00
EDGE,93.16,95.76,2.7908973808501596,58.0,2026-09-10T21:45:00+09:00,2026-09-13T07:45:00+09:00
DKA,4.952,5.12,3.3925686591276283,60.5,2026-09-10T21:45:00+09:00,2026-09-13T10:15:00+09:00
GMT,9.532,9.866,3.503986571548465,55.75,2026-09-10T22:15:00+09:00,2026-09-13T06:00:00+09:00
BOBA,25.13,25.11,-0.07958615200954865,58.0,2026-09-10T22:45:00+09:00,2026-09-13T08:45:00+09:00
CTSI,32.32,33.47,3.558168316831679,56.75,2026-09-11T00:00:00+09:00,2026-09-13T08:45:00+09:00
IRYS,18.68,19.14,2.462526766595294,57.75,2026-09-11T00:30:00+09:00,2026-09-13T10:15:00+09:00
GRAM,1829.0,1833.0,0.2186987424822307,62.5,2026-09-11T00:45:00+09:00,2026-09-13T15:15:00+09:00
ARPA,12.32,13.01,5.600649350649347,49.0,2026-09-11T01:00:00+09:00,2026-09-13T02:00:00+09:00
BIO,34.2,34.2,0.0,64.75,2026-09-11T01:30:00+09:00,2026-09-13T18:15:00+09:00
BREV,102.1,106.9,4.701273261508336,59.25,2026-09-11T01:30:00+09:00,2026-09-13T12:45:00+09:00
C,76.79,79.32,3.2946998307071063,66.0,2026-09-11T02:45:00+09:00,2026-09-13T20:45:00+09:00
