symbol,entry_price,exit_price,pnl_pct,holding_hours,entry_kst,exit_kst
ALICE,184.2,188.8,2.4972855591748226,132.25,2026-08-31T08:30:00+09:00,2026-09-05T20:45:00+09:00
LAYER,92.63,94.94,2.4937925078268406,122.75,2026-08-31T13:30:00+09:00,2026-09-05T16:15:00+09:00
XTER,12.84,12.84,0.0,98.5,2026-08-31T19:15:00+09:00,2026-09-04T21:45:00+09:00
TFUEL,12.32,12.4,0.6493506493506499,85.75,2026-09-01T07:45:00+09:00,2026-09-04T21:30:00+09:00
IRYS,18.46,19.06,3.2502708559046467,56.5,2026-09-02T15:30:00+09:00,2026-09-05T00:00:00+09:00
SAPIEN,107.1,109.9,2.614379084967331,69.25,2026-09-02T18:15:00+09:00,2026-09-05T15:30:00+09:00
KERNEL,50.66,54.01,6.6127121989735524,66.25,2026-09-02T19:00:00+09:00,2026-09-05T13:15:00+09:00
IN,45.62,46.86,2.718106093818505,67.5,2026-09-02T22:00:00+09:00,2026-09-05T17:30:00+09:00
TDROP,0.5602,0.5816,3.8200642627632937,64.0,2026-09-02T23:15:00+09:00,2026-09-05T15:15:00+09:00
EDGE,92.2,95.28,3.340563991323209,62.0,2026-09-02T23:30:00+09:00,2026-09-05T13:30:00+09:00
FLUX,67.39,65.13,-3.3536132957412152,45.75,2026-09-02T23:45:00+09:00,2026-09-04T21:30:00+09:00
G,5.05,5.049,-0.01980198019800883,42.25,2026-09-03T03:15:00+09:00,2026-09-04T21:30:00+09:00
PROS,559.6,563.4,0.6790564689063535,56.75,2026-09-03T07:45:00+09:00,2026-09-05T16:30:00+09:00
CKB,1.35,1.399,3.6296296296296244,37.75,2026-09-03T07:45:00+09:00,2026-09-04T21:30:00+09:00
KAITO,409.4,419.6,2.491450903761614,58.25,2026-09-03T08:00:00+09:00,2026-09-05T18:15:00+09:00
NEXO,1134.0,1124.0,-0.8818342151675485,39.5,2026-09-03T08:15:00+09:00,2026-09-04T23:45:00+09:00
ASTR,7.644,7.933,3.7807430664573483,55.5,2026-09-03T09:30:00+09:00,2026-09-05T17:00:00+09:00
AUDIO,17.62,18.03,2.326901248581158,37.0,2026-09-03T10:30:00+09:00,2026-09-04T23:30:00+09:00
FLUID,1724.0,1652.0,-4.176334106728538,34.75,2026-09-03T10:45:00+09:00,2026-09-04T21:30:00+09:00
FCT2,9.793,9.449,-3.512713162462978,37.5,2026-09-03T10:45:00+09:00,2026-09-05T00:15:00+09:00
MIRA,60.96,62.62,2.7230971128608865,49.5,2026-09-03T11:30:00+09:00,2026-09-05T13:00:00+09:00
WAXL,57.75,59.11,2.354978354978354,48.75,2026-09-03T12:15:00+09:00,2026-09-05T13:00:00+09:00
IO,180.2,173.8,-3.5516093229744605,33.25,2026-09-03T12:15:00+09:00,2026-09-04T21:30:00+09:00
WAL,34.33,35.45,3.262452665307325,50.25,2026-09-03T13:15:00+09:00,2026-09-05T15:30:00+09:00
SAFE,130.1,124.9,-3.9969254419677087,29.5,2026-09-03T16:00:00+09:00,2026-09-04T21:30:00+09:00
POL,129.1,124.9,-3.253292021688605,29.75,2026-09-03T16:30:00+09:00,2026-09-04T22:15:00+09:00
MAY,4.802,4.652,-3.123698458975416,32.5,2026-09-03T17:00:00+09:00,2026-09-05T01:30:00+09:00
PROMPT,31.53,32.34,2.568981921979075,45.75,2026-09-03T17:30:00+09:00,2026-09-05T15:15:00+09:00
ROBO,15.83,15.29,-3.411244472520537,31.0,2026-09-03T17:30:00+09:00,2026-09-05T00:30:00+09:00
BLAST,0.3884,0.387,-0.36045314109166127,30.75,2026-09-03T18:15:00+09:00,2026-09-05T01:00:00+09:00
AI,26.35,27.13,2.960151802656537,44.0,2026-09-03T18:30:00+09:00,2026-09-05T14:30:00+09:00
