symbol,entry_price,exit_price,pnl_pct,holding_hours,entry_kst,exit_kst
BASED,93.37,89.96,-3.652136660597634,102.0,2026-09-03T18:30:00+09:00,2026-09-08T00:30:00+09:00
GMT,10.01,10.19,1.7982017982017953,100.5,2026-09-03T19:45:00+09:00,2026-09-08T00:15:00+09:00
POKT,10.42,10.81,3.742802303262961,108.25,2026-09-04T01:00:00+09:00,2026-09-08T13:15:00+09:00
GAS,1681.0,1726.0,2.676977989292088,115.0,2026-09-04T01:30:00+09:00,2026-09-08T20:30:00+09:00
LWP,3.475,3.508,0.9496402877697818,89.0,2026-09-04T07:15:00+09:00,2026-09-08T00:15:00+09:00
ACS,0.1956,0.2023,3.42535787321064,86.75,2026-09-04T08:45:00+09:00,2026-09-07T23:30:00+09:00
XPR,3.933,3.799,-3.407068395626746,79.5,2026-09-04T16:45:00+09:00,2026-09-08T00:15:00+09:00
LM,1.006,1.06,5.367793240556665,75.25,2026-09-04T20:45:00+09:00,2026-09-08T00:00:00+09:00
FLR,9.156,8.857,-3.2656181738750685,91.75,2026-09-04T21:30:00+09:00,2026-09-08T17:15:00+09:00
XTER,12.91,13.33,3.2532920216886128,94.25,2026-09-04T21:45:00+09:00,2026-09-08T20:00:00+09:00
CC,149.1,143.9,-3.4875922199865785,74.25,2026-09-04T22:15:00+09:00,2026-09-08T00:30:00+09:00
XYO,4.82,4.824,0.08298755186721077,85.0,2026-09-04T23:15:00+09:00,2026-09-08T12:15:00+09:00
ETH,3351348.0,3372624.0,0.6348490219457962,72.5,2026-09-05T00:00:00+09:00,2026-09-08T00:30:00+09:00
AUDIO,17.83,17.87,0.22434099831745768,70.0,2026-09-05T00:00:00+09:00,2026-09-07T22:00:00+09:00
FCT2,9.575,9.787,2.2140992167101987,81.0,2026-09-05T00:30:00+09:00,2026-09-08T09:30:00+09:00
MIRA,62.95,64.35,2.223987291501178,59.75,2026-09-05T13:30:00+09:00,2026-09-08T01:15:00+09:00
ORDER,46.91,45.45,-3.1123427840545594,65.75,2026-09-05T13:45:00+09:00,2026-09-08T07:30:00+09:00
ROBO,15.57,15.73,1.0276172125883118,57.75,2026-09-05T14:15:00+09:00,2026-09-08T00:00:00+09:00
BERA,253.3,244.8,-3.3557046979865772,64.5,2026-09-05T15:00:00+09:00,2026-09-08T07:30:00+09:00
PROMPT,32.45,31.32,-3.482280431432981,64.25,2026-09-05T15:30:00+09:00,2026-09-08T07:45:00+09:00
SAFE,132.1,138.9,5.147615442846337,68.75,2026-09-05T16:00:00+09:00,2026-09-08T12:45:00+09:00
AGLD,232.2,231.8,-0.17226528854434853,60.25,2026-09-05T17:00:00+09:00,2026-09-08T05:15:00+09:00
CELR,3.135,3.033,-3.2535885167464076,62.0,2026-09-05T19:15:00+09:00,2026-09-08T09:15:00+09:00
NEO,2920.0,2992.0,2.4657534246575343,51.0,2026-09-05T19:45:00+09:00,2026-09-07T22:45:00+09:00
ONG,129.1,133.9,3.7180480247869956,61.25,2026-09-05T20:15:00+09:00,2026-09-08T09:30:00+09:00
TURBO,1.376,1.33,-3.3430232558139408,63.75,2026-09-05T20:30:00+09:00,2026-09-08T12:15:00+09:00
A8,6.846,6.874,0.40899795501021885,54.25,2026-09-05T21:30:00+09:00,2026-09-08T03:45:00+09:00
GRAM,1938.0,1876.0,-3.199174406604747,58.75,2026-09-05T22:15:00+09:00,2026-09-08T09:00:00+09:00
GPS,14.26,14.52,1.8232819074333786,55.25,2026-09-06T00:00:00+09:00,2026-09-08T07:15:00+09:00
SD,168.2,168.8,0.35671819262783755,48.25,2026-09-06T01:00:00+09:00,2026-09-08T01:15:00+09:00
OPG,140.1,143.9,2.712348322626703,53.5,2026-09-06T01:00:00+09:00,2026-09-08T06:30:00+09:00
APE,191.2,193.8,1.3598326359832758,44.75,2026-09-06T01:45:00+09:00,2026-09-07T22:30:00+09:00
POPCAT,71.85,69.51,-3.256784968684745,52.25,2026-09-06T03:45:00+09:00,2026-09-08T08:00:00+09:00
META,10.22,10.45,2.2504892367905933,55.5,2026-09-06T07:00:00+09:00,2026-09-08T14:30:00+09:00
AERO,738.7,794.2,7.513198862867199,41.0,2026-09-06T07:00:00+09:00,2026-09-08T00:00:00+09:00
WNCG,5.813,5.894,1.3934285222776606,39.25,2026-09-06T08:15:00+09:00,2026-09-07T23:30:00+09:00
KAT,6.304,6.386,1.3007614213197947,59.5,2026-09-06T08:30:00+09:00,2026-09-08T20:00:00+09:00
WAVES,311.3,319.7,2.6983617089624086,49.25,2026-09-06T08:30:00+09:00,2026-09-08T09:45:00+09:00
MBX,34.54,33.47,-3.0978575564562836,47.25,2026-09-06T09:45:00+09:00,2026-09-08T09:00:00+09:00
AVAIL,2.912,3.007,3.262362637362644,37.5,2026-09-06T10:00:00+09:00,2026-09-07T23:30:00+09:00
CRO,77.88,80.14,2.901900359527485,56.5,2026-09-06T11:30:00+09:00,2026-09-08T20:00:00+09:00
VTHO,0.5761,0.5965,3.5410519007116967,54.25,2026-09-06T13:00:00+09:00,2026-09-08T19:15:00+09:00
AAVE,182182.0,176523.0,-3.1062344249157436,35.5,2026-09-06T13:15:00+09:00,2026-09-08T00:45:00+09:00
BICO,30.35,31.2,2.8006589785831886,35.25,2026-09-06T13:15:00+09:00,2026-09-08T00:30:00+09:00
CHZ,19.05,19.09,0.20997375328083542,34.0,2026-09-06T14:00:00+09:00,2026-09-08T00:00:00+09:00
FF,161.2,185.8,15.260545905707213,53.0,2026-09-06T14:45:00+09:00,2026-09-08T19:45:00+09:00
PYTH,75.59,72.89,-3.5719010451117907,40.75,2026-09-06T14:45:00+09:00,2026-09-08T07:30:00+09:00
IQ,0.9932,0.9935,0.030205396697551148,36.75,2026-09-06T15:00:00+09:00,2026-09-08T03:45:00+09:00
DOS,322.3,311.7,-3.288861309339132,33.5,2026-09-06T15:15:00+09:00,2026-09-08T00:45:00+09:00
