symbol,entry_price,exit_price,pnl_pct,holding_hours,entry_kst,exit_kst
CBK,241.2,246.8,2.3217247097844207,111.75,2026-08-29T22:30:00+09:00,2026-09-03T14:15:00+09:00
AUDIO,18.01,20.12,11.71571349250416,105.75,2026-08-30T00:30:00+09:00,2026-09-03T10:15:00+09:00
SFP,356.4,341.7,-4.124579124579122,98.75,2026-08-30T01:00:00+09:00,2026-09-03T03:45:00+09:00
XTZ,294.3,304.7,3.5338090383961864,82.25,2026-08-31T08:30:00+09:00,2026-09-03T18:45:00+09:00
WLD,505.5,488.5,-3.3630069238377844,63.5,2026-08-31T08:30:00+09:00,2026-09-03T00:00:00+09:00
MOODENG,53.88,52.19,-3.1365998515219093,65.5,2026-08-31T08:45:00+09:00,2026-09-03T02:15:00+09:00
IO,176.2,179.8,2.043132803632249,74.5,2026-08-31T09:45:00+09:00,2026-09-03T12:15:00+09:00
ASTR,7.583,7.348,-3.0990373203217763,69.5,2026-08-31T09:45:00+09:00,2026-09-03T07:15:00+09:00
ENJ,33.42,33.4,-0.0598444045481841,70.25,2026-08-31T09:45:00+09:00,2026-09-03T08:00:00+09:00
ALT,8.413,8.363,-0.594318316890535,74.25,2026-08-31T10:00:00+09:00,2026-09-03T12:15:00+09:00
MEGA,50.99,49.23,-3.4516571876838693,66.75,2026-08-31T10:00:00+09:00,2026-09-03T04:45:00+09:00
RENDER,1933.0,1984.0,2.638385928608381,79.25,2026-08-31T10:00:00+09:00,2026-09-03T17:15:00+09:00
A,104.1,106.9,2.6897214217099052,62.5,2026-08-31T10:15:00+09:00,2026-09-03T00:45:00+09:00
BAT,93.02,92.94,-0.08600301010535186,61.75,2026-08-31T10:15:00+09:00,2026-09-03T00:00:00+09:00
RE,650.6,628.4,-3.412234860129119,66.75,2026-08-31T12:15:00+09:00,2026-09-03T07:00:00+09:00
GAS,1674.0,1621.0,-3.166069295101553,62.75,2026-08-31T19:15:00+09:00,2026-09-03T10:00:00+09:00
G,5.023,5.026,0.05972526378658399,54.5,2026-08-31T19:15:00+09:00,2026-09-03T01:45:00+09:00
SAHARA,11.44,11.82,3.3216783216783288,63.25,2026-08-31T19:45:00+09:00,2026-09-03T11:00:00+09:00
TOSHI,0.1643,0.1586,-3.469263542300676,56.25,2026-08-31T22:45:00+09:00,2026-09-03T07:00:00+09:00
CRO,75.56,73.13,-3.215987294865017,49.25,2026-08-31T22:45:00+09:00,2026-09-03T00:00:00+09:00
SOLV,3.912,3.861,-1.3036809815950847,48.75,2026-08-31T23:15:00+09:00,2026-09-03T00:00:00+09:00
CKB,1.389,1.343,-3.311735061195107,56.0,2026-08-31T23:15:00+09:00,2026-09-03T07:15:00+09:00
ORDER,46.95,46.92,-0.06389776357827719,50.0,2026-08-31T23:15:00+09:00,2026-09-03T01:15:00+09:00
BSB,144.1,147.9,2.637057598889668,58.0,2026-08-31T23:15:00+09:00,2026-09-03T09:15:00+09:00
ANKR,5.387,5.467,1.4850566177835545,46.0,2026-08-31T23:45:00+09:00,2026-09-02T21:45:00+09:00
PARTI,32.43,33.92,4.594511255010798,54.5,2026-09-01T00:00:00+09:00,2026-09-03T06:30:00+09:00
MERL,28.13,28.37,0.8531816565943904,59.5,2026-09-01T00:00:00+09:00,2026-09-03T11:30:00+09:00
SONIC,30.11,29.07,-3.454001992693455,49.5,2026-09-01T00:15:00+09:00,2026-09-03T01:45:00+09:00
F,4.373,4.508,3.0871255431054148,56.75,2026-09-01T00:15:00+09:00,2026-09-03T09:00:00+09:00
DKA,4.768,4.787,0.3984899328859088,64.25,2026-09-01T00:15:00+09:00,2026-09-03T16:30:00+09:00
TOKAMAK,423.4,432.6,2.172886159659907,55.5,2026-09-01T00:15:00+09:00,2026-09-03T07:45:00+09:00
POWR,62.16,63.57,2.2683397683397746,60.75,2026-09-01T00:30:00+09:00,2026-09-03T13:15:00+09:00
