symbol,entry_price,exit_price,pnl_pct,holding_hours,entry_kst,exit_kst
BEL,162.2,162.8,0.3699136868064259,168.0,2026-08-30T06:15:00+09:00,2026-09-06T06:15:00+09:00
RAD,323.3,325.7,0.7423445716053131,168.0,2026-08-30T07:00:00+09:00,2026-09-06T07:00:00+09:00
ORBS,8.449,8.426,-0.2722215646822072,168.0,2026-08-30T20:30:00+09:00,2026-09-06T20:30:00+09:00
DBR,20.3,20.65,1.7241379310344724,133.75,2026-08-31T19:45:00+09:00,2026-09-06T09:30:00+09:00
NMR,12192.0,12547.0,2.911745406824147,114.5,2026-09-01T03:00:00+09:00,2026-09-05T21:30:00+09:00
SUN,22.12,22.7,2.622061482820969,84.0,2026-09-02T15:30:00+09:00,2026-09-06T03:30:00+09:00
PROVE,240.2,246.8,2.747710241465455,78.75,2026-09-02T15:30:00+09:00,2026-09-05T22:15:00+09:00
BOBA,26.34,26.48,0.5315110098709209,78.75,2026-09-02T17:15:00+09:00,2026-09-06T00:00:00+09:00
ANIME,3.744,3.886,3.7927350427350395,74.75,2026-09-02T19:45:00+09:00,2026-09-05T22:30:00+09:00
JST,145.1,147.9,1.9297036526533504,74.0,2026-09-02T21:30:00+09:00,2026-09-05T23:30:00+09:00
UP,71.48,73.43,2.72803581421377,72.0,2026-09-03T09:15:00+09:00,2026-09-06T09:15:00+09:00
DAO,31.27,31.75,1.5350175887432058,61.5,2026-09-03T09:15:00+09:00,2026-09-05T22:45:00+09:00
GLM,146.1,149.8,2.5325119780972054,62.25,2026-09-03T10:00:00+09:00,2026-09-06T00:15:00+09:00
AHT,1.303,1.314,0.8442056792018512,70.5,2026-09-03T11:45:00+09:00,2026-09-06T10:15:00+09:00
BOUNTY,16.59,16.48,-0.6630500301386343,56.25,2026-09-03T15:45:00+09:00,2026-09-06T00:00:00+09:00
OBT,0.4462,0.4556,2.1066786194531644,66.0,2026-09-03T16:00:00+09:00,2026-09-06T10:00:00+09:00
CELO,104.1,108.9,4.610951008645545,65.75,2026-09-03T16:15:00+09:00,2026-09-06T10:00:00+09:00
ALT,8.369,8.781,4.92292986019836,67.0,2026-09-03T17:00:00+09:00,2026-09-06T12:00:00+09:00
WAXP,5.953,6.12,2.8053082479422105,70.75,2026-09-03T17:15:00+09:00,2026-09-06T16:00:00+09:00
YGG,31.26,32.41,3.6788227767114363,53.5,2026-09-03T18:30:00+09:00,2026-09-06T00:00:00+09:00
SKY,91.38,94.34,3.2392208360691703,60.0,2026-09-03T20:15:00+09:00,2026-09-06T08:15:00+09:00
A,106.1,108.9,2.6390197926484555,52.0,2026-09-03T20:30:00+09:00,2026-09-06T00:30:00+09:00
BSB,147.1,151.8,3.1951053704962726,62.25,2026-09-03T21:45:00+09:00,2026-09-06T12:00:00+09:00
IOST,0.817,0.8864,8.494492044063652,51.5,2026-09-03T22:00:00+09:00,2026-09-06T01:30:00+09:00
API3,311.3,318.7,2.3771281721811683,45.25,2026-09-04T00:00:00+09:00,2026-09-05T21:15:00+09:00
MAGIC,62.08,64.48,3.8659793814433083,58.75,2026-09-04T00:15:00+09:00,2026-09-06T11:00:00+09:00
RON,70.02,71.19,1.6709511568123419,47.75,2026-09-04T00:15:00+09:00,2026-09-06T00:00:00+09:00
BARD,166.2,172.8,3.9711191335740215,54.0,2026-09-04T00:30:00+09:00,2026-09-06T06:30:00+09:00
THQ,15.07,15.28,1.3934970139349638,47.75,2026-09-04T00:30:00+09:00,2026-09-06T00:15:00+09:00
SIX,6.654,6.642,-0.18034265103696373,49.75,2026-09-04T00:45:00+09:00,2026-09-06T02:30:00+09:00
MBX,34.24,33.18,-3.095794392523371,54.0,2026-09-04T02:45:00+09:00,2026-09-06T08:45:00+09:00
XTZ,314.3,321.7,2.354438434616601,54.75,2026-09-04T03:00:00+09:00,2026-09-06T09:45:00+09:00
KNC,155.2,158.8,2.3195876288659942,51.0,2026-09-04T04:15:00+09:00,2026-09-06T07:15:00+09:00
AMO,0.3905,0.3928,0.5889884763124119,47.25,2026-09-04T04:30:00+09:00,2026-09-06T03:45:00+09:00
SHELL,30.35,31.67,4.349258649093906,49.5,2026-09-04T05:00:00+09:00,2026-09-06T06:30:00+09:00
HYPER,90.75,93.02,2.501377410468315,41.0,2026-09-04T05:00:00+09:00,2026-09-05T22:00:00+09:00
GTC,110.1,111.9,1.6348773841961957,43.25,2026-09-04T07:45:00+09:00,2026-09-06T03:00:00+09:00
CYBER,418.4,420.6,0.5258126195028789,40.75,2026-09-04T07:45:00+09:00,2026-09-06T00:30:00+09:00
AAVE,180781.0,187712.0,3.83392060006306,49.75,2026-09-04T08:15:00+09:00,2026-09-06T10:00:00+09:00
EL,2.046,2.044,-0.0977517106549257,39.25,2026-09-04T09:15:00+09:00,2026-09-06T00:30:00+09:00
TRUST,73.39,75.44,2.793296089385471,36.5,2026-09-04T10:00:00+09:00,2026-09-05T22:30:00+09:00
GRND,14.08,14.4,2.2727272727272747,37.0,2026-09-04T10:30:00+09:00,2026-09-05T23:30:00+09:00
F,4.482,4.617,3.0120481927710796,44.0,2026-09-04T12:15:00+09:00,2026-09-06T08:15:00+09:00
CHZ,18.56,19.09,2.8556034482758683,44.5,2026-09-04T14:30:00+09:00,2026-09-06T11:00:00+09:00
ETHFI,773.8,807.2,4.316360816748526,43.5,2026-09-04T14:30:00+09:00,2026-09-06T10:00:00+09:00
MPLX,43.63,44.4,1.7648407059362732,49.25,2026-09-04T14:45:00+09:00,2026-09-06T16:00:00+09:00
MEW,0.5714,0.587,2.7301365068253323,46.5,2026-09-04T14:45:00+09:00,2026-09-06T13:15:00+09:00
GMX,9920.0,10200.0,2.82258064516129,39.25,2026-09-04T14:45:00+09:00,2026-09-06T06:00:00+09:00
PYR,69.44,71.13,2.43375576036866,31.75,2026-09-04T15:00:00+09:00,2026-09-05T22:45:00+09:00
ZAMA,70.49,68.24,-3.191942119449567,32.5,2026-09-04T16:00:00+09:00,2026-09-06T00:30:00+09:00
SEI,65.0,66.83,2.8153846153846125,52.5,2026-09-04T16:15:00+09:00,2026-09-06T20:45:00+09:00
PYTH,73.84,76.5,3.602383531960992,38.0,2026-09-04T19:15:00+09:00,2026-09-06T09:15:00+09:00
WAVES,304.3,311.7,2.431810713112053,35.0,2026-09-04T19:30:00+09:00,2026-09-06T06:30:00+09:00
THETA,240.2,245.8,2.3313905079100845,38.0,2026-09-04T20:00:00+09:00,2026-09-06T10:00:00+09:00
GRAM,1885.0,1933.0,2.546419098143236,25.75,2026-09-04T20:15:00+09:00,2026-09-05T22:00:00+09:00
TOKAMAK,437.4,441.6,0.9602194787380077,37.0,2026-09-04T21:30:00+09:00,2026-09-06T10:30:00+09:00
BLEND,84.65,87.68,3.579444772593031,36.75,2026-09-04T21:30:00+09:00,2026-09-06T10:15:00+09:00
XAI,9.928,10.17,2.4375503626107884,25.75,2026-09-04T21:30:00+09:00,2026-09-05T23:15:00+09:00
REZ,4.013,4.367,8.82133067530526,31.75,2026-09-04T21:30:00+09:00,2026-09-06T05:15:00+09:00
HP,10.27,10.44,1.6553067185978572,41.75,2026-09-04T21:30:00+09:00,2026-09-06T15:15:00+09:00
AEON,73.4,75.09,2.302452316076291,27.75,2026-09-04T21:30:00+09:00,2026-09-06T01:15:00+09:00
LINK,16026.0,16474.0,2.7954573817546486,28.75,2026-09-04T21:30:00+09:00,2026-09-06T02:15:00+09:00
C,80.35,82.42,2.5762289981331765,33.5,2026-09-04T21:30:00+09:00,2026-09-06T07:00:00+09:00
TAIKO,107.1,109.9,2.614379084967331,36.25,2026-09-04T21:30:00+09:00,2026-09-06T09:45:00+09:00
TFUEL,12.42,12.82,3.2206119162640934,35.75,2026-09-04T21:30:00+09:00,2026-09-06T09:15:00+09:00
