symbol,entry_price,exit_price,pnl_pct,holding_hours,entry_kst,exit_kst
ATOM,2054.0,2029.0,-1.2171372930866602,78.0,2026-08-28T18:00:00+09:00,2026-09-01T00:00:00+09:00
ANKR,5.526,5.351,-3.1668476293883434,55.5,2026-08-29T15:45:00+09:00,2026-08-31T23:15:00+09:00
FLR,8.847,9.574,8.21747485023172,31.25,2026-08-30T17:45:00+09:00,2026-09-01T01:00:00+09:00
CC,162.2,166.8,2.836004932182505,32.75,2026-08-30T19:15:00+09:00,2026-09-01T04:00:00+09:00
SOON,278.3,268.7,-3.449514911965513,26.5,2026-08-30T19:15:00+09:00,2026-08-31T21:45:00+09:00
STABLE,36.58,37.39,2.2143247676325926,23.25,2026-08-31T00:15:00+09:00,2026-08-31T23:30:00+09:00
AMP,0.6064,0.6233,2.7869393139841545,23.75,2026-08-31T00:30:00+09:00,2026-09-01T00:15:00+09:00
USDE,1397.0,1377.0,-1.4316392269148175,27.0,2026-08-31T02:15:00+09:00,2026-09-01T05:15:00+09:00
XAN,17.92,18.77,4.743303571428559,21.5,2026-08-31T03:15:00+09:00,2026-09-01T00:45:00+09:00
FF,130.1,124.9,-3.9969254419677087,17.5,2026-08-31T03:45:00+09:00,2026-08-31T21:15:00+09:00
JST,130.1,134.9,3.68946963873944,15.75,2026-08-31T06:15:00+09:00,2026-08-31T22:00:00+09:00
RSS3,8.256,7.963,-3.548934108527133,17.0,2026-08-31T07:15:00+09:00,2026-09-01T00:15:00+09:00
BLUR,21.88,21.32,-2.5594149908592265,23.0,2026-08-31T08:15:00+09:00,2026-09-01T07:15:00+09:00
ROBO,17.54,16.93,-3.4777651083238283,18.75,2026-08-31T08:15:00+09:00,2026-09-01T03:00:00+09:00
TOKAMAK,420.4,420.6,0.04757373929591947,14.75,2026-08-31T08:15:00+09:00,2026-08-31T23:00:00+09:00
AGLD,226.2,222.8,-1.5030946065428725,15.75,2026-08-31T08:15:00+09:00,2026-09-01T00:00:00+09:00
BASED,95.49,92.1,-3.550109959158028,13.25,2026-08-31T08:15:00+09:00,2026-08-31T21:30:00+09:00
YGG,30.27,30.25,-0.06607201850016378,16.75,2026-08-31T08:15:00+09:00,2026-09-01T01:00:00+09:00
RAY,1071.0,1099.0,2.6143790849673203,15.5,2026-08-31T08:30:00+09:00,2026-09-01T00:00:00+09:00
TOSHI,0.1635,0.1654,1.1620795107033546,13.0,2026-08-31T08:30:00+09:00,2026-08-31T21:30:00+09:00
IOST,0.7968,0.7902,-0.8283132530120406,16.25,2026-08-31T08:30:00+09:00,2026-09-01T00:45:00+09:00
ALLO,334.3,321.7,-3.7690696978761657,16.75,2026-08-31T08:30:00+09:00,2026-09-01T01:15:00+09:00
ADA,266.3,274.7,3.154337213668786,19.0,2026-08-31T08:45:00+09:00,2026-09-01T03:45:00+09:00
CFX,60.23,62.33,3.486634567491286,23.25,2026-08-31T08:45:00+09:00,2026-09-01T08:00:00+09:00
DOOD,1.792,1.808,0.8928571428571437,16.5,2026-08-31T08:45:00+09:00,2026-09-01T01:15:00+09:00
LPT,1838.0,1846.0,0.4352557127312296,15.75,2026-08-31T08:45:00+09:00,2026-09-01T00:30:00+09:00
ARK,152.2,151.8,-0.26281208935609546,15.0,2026-08-31T09:00:00+09:00,2026-09-01T00:00:00+09:00
MEW,0.5686,0.5688,0.03517411185367182,13.75,2026-08-31T09:45:00+09:00,2026-08-31T23:30:00+09:00
HYPER,88.09,91.0,3.3034396639800163,19.0,2026-08-31T09:45:00+09:00,2026-09-01T04:45:00+09:00
PYR,65.9,67.24,2.0333839150227453,14.5,2026-08-31T09:45:00+09:00,2026-09-01T00:15:00+09:00
SOLV,3.907,3.908,0.02559508574353442,13.0,2026-08-31T09:45:00+09:00,2026-08-31T22:45:00+09:00
HOLO,88.32,85.55,-3.1363224637681117,12.75,2026-08-31T10:00:00+09:00,2026-08-31T22:45:00+09:00
ELF,92.65,95.18,2.730706961683757,13.5,2026-08-31T10:00:00+09:00,2026-08-31T23:30:00+09:00
TRUMP,3289.0,3381.0,2.797202797202797,20.75,2026-08-31T10:00:00+09:00,2026-09-01T06:45:00+09:00
ZRX,131.1,131.9,0.6102212051868889,16.75,2026-08-31T10:00:00+09:00,2026-09-01T02:45:00+09:00
SYRUP,241.2,251.7,4.353233830845771,18.75,2026-08-31T10:00:00+09:00,2026-09-01T04:45:00+09:00
SENT,17.08,17.54,2.693208430913354,20.0,2026-08-31T10:00:00+09:00,2026-09-01T06:00:00+09:00
CKB,1.37,1.401,2.2627737226277307,11.5,2026-08-31T10:00:00+09:00,2026-08-31T21:30:00+09:00
MANA,100.1,96.81,-3.286713286713279,13.0,2026-08-31T10:00:00+09:00,2026-08-31T23:00:00+09:00
OP,121.1,124.9,3.1379025598678876,19.75,2026-08-31T10:00:00+09:00,2026-09-01T05:45:00+09:00
OBT,0.4497,0.452,0.5114520791638925,16.0,2026-08-31T10:00:00+09:00,2026-09-01T02:00:00+09:00
BIOT,0.3492,0.3543,1.4604810996563555,14.25,2026-08-31T10:00:00+09:00,2026-09-01T00:15:00+09:00
EPT,0.5546,0.5358,-3.3898305084745632,14.0,2026-08-31T10:15:00+09:00,2026-09-01T00:15:00+09:00
MON,36.83,37.88,2.850936736356243,17.25,2026-08-31T10:15:00+09:00,2026-09-01T03:30:00+09:00
IOTA,53.76,55.16,2.604166666666664,17.75,2026-08-31T10:30:00+09:00,2026-09-01T04:15:00+09:00
PEAQ,31.5,30.81,-2.1904761904761942,15.25,2026-08-31T10:45:00+09:00,2026-09-01T02:00:00+09:00
GRAM,1816.0,1969.0,8.42511013215859,14.5,2026-08-31T11:00:00+09:00,2026-09-01T01:30:00+09:00
KERNEL,53.95,52.15,-3.336422613531055,13.25,2026-08-31T11:45:00+09:00,2026-09-01T01:00:00+09:00
CAMP,0.5926,0.6255,5.551805602429957,12.5,2026-08-31T11:45:00+09:00,2026-09-01T00:15:00+09:00
CSPR,3.6,3.982,10.611111111111114,13.5,2026-08-31T11:45:00+09:00,2026-09-01T01:15:00+09:00
GWEI,33.17,32.01,-3.49713596623456,10.0,2026-08-31T11:45:00+09:00,2026-08-31T21:45:00+09:00
DKA,4.846,4.62,-4.6636401155592235,9.75,2026-08-31T12:00:00+09:00,2026-08-31T21:45:00+09:00
AVL,32.23,31.07,-3.5991312441824284,12.0,2026-08-31T12:15:00+09:00,2026-09-01T00:15:00+09:00
TDROP,0.5759,0.5837,1.3544018058690797,12.5,2026-08-31T12:45:00+09:00,2026-09-01T01:15:00+09:00
BLUE,12.5,13.06,4.480000000000004,12.0,2026-08-31T12:45:00+09:00,2026-09-01T00:45:00+09:00
TIA,446.4,462.5,3.6066308243727656,18.75,2026-08-31T13:15:00+09:00,2026-09-01T08:00:00+09:00
EUL,1722.0,1791.0,4.006968641114982,15.5,2026-08-31T13:15:00+09:00,2026-09-01T04:45:00+09:00
