symbol,entry_price,exit_price,pnl_pct,holding_hours,entry_kst,exit_kst
SPACE,6.484,6.568,1.2954966070326903,2.25,2026-09-19T09:30:00+09:00,2026-09-19T11:45:00+09:00
DEBIT,3426.0,3454.0,0.8172796263864566,1.25,2026-09-19T09:30:00+09:00,2026-09-19T10:45:00+09:00
COW,198.2,205.8,3.8345105953582355,6.0,2026-09-19T09:30:00+09:00,2026-09-19T15:30:00+09:00
SPX,685.7,657.3,-4.141752953186538,4.25,2026-09-19T09:30:00+09:00,2026-09-19T13:45:00+09:00
CTC,141.1,144.9,2.693125442948272,3.5,2026-09-19T09:30:00+09:00,2026-09-19T13:00:00+09:00
CSPR,3.703,3.845,3.834728598433712,4.25,2026-09-19T09:30:00+09:00,2026-09-19T13:45:00+09:00
MORPHO,3500.0,3595.0,2.7142857142857144,0.75,2026-09-19T09:30:00+09:00,2026-09-19T10:15:00+09:00
META,10.98,11.13,1.3661202185792383,6.25,2026-09-19T09:30:00+09:00,2026-09-19T15:45:00+09:00
ONDO,553.6,553.4,-0.036127167630066015,9.0,2026-09-19T09:30:00+09:00,2026-09-19T18:30:00+09:00
JUP,364.4,375.6,3.073545554335907,2.75,2026-09-19T09:30:00+09:00,2026-09-19T12:15:00+09:00
JST,153.2,157.8,3.002610966057456,2.5,2026-09-19T09:30:00+09:00,2026-09-19T12:00:00+09:00
HPP,8.872,8.941,0.7777276825969437,3.0,2026-09-19T09:30:00+09:00,2026-09-19T12:30:00+09:00
OP,166.2,160.8,-3.2490974729241744,0.5,2026-09-19T09:30:00+09:00,2026-09-19T10:00:00+09:00
XTER,13.25,13.49,1.8113207547169825,2.25,2026-09-19T09:30:00+09:00,2026-09-19T11:45:00+09:00
MOC,26.89,27.42,1.970992934176278,3.75,2026-09-19T09:30:00+09:00,2026-09-19T13:15:00+09:00
HNT,647.6,625.4,-3.4280420012353376,0.75,2026-09-19T09:30:00+09:00,2026-09-19T10:15:00+09:00
ADA,312.3,318.7,2.0493115593980074,2.25,2026-09-19T09:30:00+09:00,2026-09-19T11:45:00+09:00
REZ,5.257,5.085,-3.2718280388053973,5.75,2026-09-19T09:30:00+09:00,2026-09-19T15:15:00+09:00
DRV,705.7,643.4,-8.828113929431778,0.0,2026-09-19T09:30:00+09:00,2026-09-19T09:30:00+09:00
ROBO,13.59,12.71,-6.47534952170713,0.75,2026-09-19T09:30:00+09:00,2026-09-19T10:15:00+09:00
S,43.88,45.9,4.603463992707375,1.5,2026-09-19T09:30:00+09:00,2026-09-19T11:00:00+09:00
MOODENG,60.94,58.94,-3.2819166393173616,4.5,2026-09-19T09:30:00+09:00,2026-09-19T14:00:00+09:00
SIX,6.843,6.872,0.423790735057722,3.5,2026-09-19T09:30:00+09:00,2026-09-19T13:00:00+09:00
CELR,3.104,3.123,0.6121134020618597,6.0,2026-09-19T09:30:00+09:00,2026-09-19T15:30:00+09:00
CFG,170.2,173.8,2.115158636897781,3.5,2026-09-19T09:30:00+09:00,2026-09-19T13:00:00+09:00
STEEM,75.12,77.08,2.609158679446211,7.75,2026-09-19T09:30:00+09:00,2026-09-19T17:15:00+09:00
ALT,9.69,9.614,-0.7843137254901831,0.75,2026-09-19T09:30:00+09:00,2026-09-19T10:15:00+09:00
GAME2,1.295,1.409,8.803088803088812,6.25,2026-09-19T09:30:00+09:00,2026-09-19T15:45:00+09:00
WNCG,5.748,5.81,1.0786360473207965,3.0,2026-09-19T09:30:00+09:00,2026-09-19T12:30:00+09:00
FLUID,1764.0,1811.0,2.6643990929705215,10.75,2026-09-19T09:30:00+09:00,2026-09-19T20:15:00+09:00
FLOCK,98.12,98.09,-0.03057480635956088,6.25,2026-09-19T09:30:00+09:00,2026-09-19T15:45:00+09:00
APT,1019.0,1049.0,2.9440628066732093,3.75,2026-09-19T09:30:00+09:00,2026-09-19T13:15:00+09:00
PEAQ,40.05,39.66,-0.973782771535582,0.25,2026-09-19T09:30:00+09:00,2026-09-19T09:45:00+09:00
F,6.659,6.936,4.159783751314014,0.25,2026-09-19T09:30:00+09:00,2026-09-19T09:45:00+09:00
PIEVERSE,2175.0,2263.0,4.045977011494252,2.5,2026-09-19T09:30:00+09:00,2026-09-19T12:00:00+09:00
AR,4904.0,5045.0,2.875203915171289,1.75,2026-09-19T09:30:00+09:00,2026-09-19T11:15:00+09:00
MEV,4.861,4.71,-3.10635671672495,0.25,2026-09-19T09:30:00+09:00,2026-09-19T09:45:00+09:00
ENS,8614.0,8761.0,1.7065242628279544,2.5,2026-09-19T09:30:00+09:00,2026-09-19T12:00:00+09:00
MINA,144.1,147.9,2.637057598889668,2.25,2026-09-19T09:30:00+09:00,2026-09-19T11:45:00+09:00
ACH,8.0,7.742,-3.225,5.75,2026-09-19T09:30:00+09:00,2026-09-19T15:15:00+09:00
TOKAMAK,462.5,477.5,3.2432432432432434,7.25,2026-09-19T09:30:00+09:00,2026-09-19T16:45:00+09:00
THQ,14.76,15.08,2.168021680216804,9.25,2026-09-19T09:30:00+09:00,2026-09-19T18:45:00+09:00
SUI,1138.0,1167.0,2.5483304042179262,10.25,2026-09-19T09:30:00+09:00,2026-09-19T19:45:00+09:00
ENA,233.2,239.8,2.8301886792452926,0.25,2026-09-19T09:30:00+09:00,2026-09-19T09:45:00+09:00
AVAX,11341.0,11898.0,4.911383475883961,1.25,2026-09-19T09:30:00+09:00,2026-09-19T10:45:00+09:00
AVNT,147.1,150.8,2.515295717199196,8.5,2026-09-19T09:30:00+09:00,2026-09-19T18:00:00+09:00
AWE,91.56,94.62,3.3420707732634365,5.0,2026-09-19T09:30:00+09:00,2026-09-19T14:30:00+09:00
AXS,1401.0,1374.0,-1.9271948608137044,8.0,2026-09-19T09:30:00+09:00,2026-09-19T17:30:00+09:00
STRK,59.27,57.07,-3.711827231314329,0.75,2026-09-19T09:30:00+09:00,2026-09-19T10:15:00+09:00
AZTEC,21.49,20.72,-3.5830618892508124,5.25,2026-09-19T09:30:00+09:00,2026-09-19T14:45:00+09:00
PROS,744.7,721.3,-3.1422049147307765,2.0,2026-09-19T09:30:00+09:00,2026-09-19T11:30:00+09:00
B3,0.8131,0.8398,3.2837289386299284,2.25,2026-09-19T09:30:00+09:00,2026-09-19T11:45:00+09:00
EIGEN,317.3,324.7,2.3321777497636234,3.25,2026-09-19T09:30:00+09:00,2026-09-19T12:45:00+09:00
BFC,36.68,35.48,-3.2715376226826685,1.5,2026-09-19T09:30:00+09:00,2026-09-19T11:00:00+09:00
MMT,217.2,209.8,-3.4069981583793636,5.75,2026-09-19T09:30:00+09:00,2026-09-19T15:15:00+09:00
PUFFER,33.6,32.43,-3.482142857142862,5.0,2026-09-19T09:30:00+09:00,2026-09-19T14:30:00+09:00
EDGEX,804.8,778.2,-3.305168986083488,0.75,2026-09-19T09:30:00+09:00,2026-09-19T10:15:00+09:00
ZAMA,84.88,87.46,3.039585296889725,1.25,2026-09-19T09:30:00+09:00,2026-09-19T10:45:00+09:00
